xcen,ycen,sxx,syy,sxy                                                     
5.0000E-001,5.0000E-001,-8.6669E+006,-2.6717E+007,-9.2913E+001            
5.0000E-001,1.5000E+000,-8.6667E+006,-2.6717E+007,-5.3481E+002            
5.0000E-001,2.5000E+000,-8.6666E+006,-2.6716E+007,-5.0049E+001            
5.0000E-001,3.5000E+000,-8.6670E+006,-2.6716E+007,-4.8234E+001            
5.0000E-001,4.5000E+000,-8.6670E+006,-2.6716E+007,-4.8193E+002            
5.0000E-001,5.5000E+000,-8.6667E+006,-2.6716E+007,-5.9697E+002            
5.0000E-001,6.5000E+000,-8.6668E+006,-2.6715E+007,-5.6534E+002            
5.0000E-001,7.5000E+000,-8.6665E+006,-2.6714E+007,-6.6201E+002            
5.0000E-001,8.5000E+000,-8.6665E+006,-2.6712E+007,-1.0456E+003            
5.0000E-001,9.5000E+000,-8.6669E+006,-2.6711E+007,-1.0811E+003           
5.0000E-001,1.0500E+001,-8.6670E+006,-2.6710E+007,-1.2067E+003           
5.0000E-001,1.1500E+001,-8.6672E+006,-2.6708E+007,-1.6543E+003           
5.0000E-001,1.2500E+001,-8.6673E+006,-2.6706E+007,-2.4154E+003           
5.0000E-001,1.3500E+001,-8.6666E+006,-2.6701E+007,-3.3723E+003           
5.0000E-001,1.4500E+001,-8.6660E+006,-2.6696E+007,-3.9005E+003           
5.0000E-001,1.5500E+001,-8.6665E+006,-2.6689E+007,-4.4157E+003           
5.0000E-001,1.6500E+001,-8.6673E+006,-2.6683E+007,-5.2941E+003           
5.0000E-001,1.7500E+001,-8.6669E+006,-2.6676E+007,-5.5426E+003           
5.0000E-001,1.8500E+001,-8.6671E+006,-2.6668E+007,-5.4772E+003           
5.0000E-001,1.9500E+001,-8.6674E+006,-2.6657E+007,-7.0133E+003           
5.0000E-001,2.0500E+001,-8.6669E+006,-2.6643E+007,-7.3834E+003           
5.0000E-001,2.1500E+001,-8.6667E+006,-2.6628E+007,-7.6945E+003           
5.0000E-001,2.2500E+001,-8.6675E+006,-2.6613E+007,-9.1080E+003           
5.0000E-001,2.3500E+001,-8.6684E+006,-2.6595E+007,-1.0795E+004           
5.0000E-001,2.4500E+001,-8.6673E+006,-2.6574E+007,-1.2143E+004           
5.0000E-001,2.5500E+001,-8.6666E+006,-2.6552E+007,-1.2174E+004           
5.0000E-001,2.6500E+001,-8.6669E+006,-2.6529E+007,-1.3746E+004           
5.0000E-001,2.7500E+001,-8.6676E+006,-2.6506E+007,-1.3855E+004           
5.0000E-001,2.8500E+001,-8.6669E+006,-2.6479E+007,-1.4592E+004           
5.0000E-001,2.9500E+001,-8.6671E+006,-2.6450E+007,-1.6150E+004           
5.0000E-001,3.0500E+001,-8.6679E+006,-2.6419E+007,-1.6604E+004           
5.0000E-001,3.1500E+001,-8.6684E+006,-2.6388E+007,-1.7303E+004           
5.0000E-001,3.2500E+001,-8.6682E+006,-2.6355E+007,-1.7422E+004           
5.0000E-001,3.3500E+001,-8.6671E+006,-2.6320E+007,-1.8222E+004           
5.0000E-001,3.4500E+001,-8.6672E+006,-2.6284E+007,-1.9276E+004           
5.0000E-001,3.5500E+001,-8.6674E+006,-2.6250E+007,-1.8988E+004           
5.0000E-001,3.6500E+001,-8.6678E+006,-2.6215E+007,-1.9185E+004           
5.0000E-001,3.7500E+001,-8.6673E+006,-2.6180E+007,-1.9417E+004           
5.0000E-001,3.8500E+001,-8.6674E+006,-2.6145E+007,-1.8847E+004           
5.0000E-001,3.9500E+001,-8.6682E+006,-2.6111E+007,-1.9694E+004           
5.0000E-001,4.0500E+001,-8.6687E+006,-2.6077E+007,-1.7790E+004           
5.0000E-001,4.1500E+001,-8.6680E+006,-2.6044E+007,-1.7672E+004           
5.0000E-001,4.2500E+001,-8.6676E+006,-2.6013E+007,-1.6493E+004           
5.0000E-001,4.3500E+001,-8.6676E+006,-2.5983E+007,-1.5216E+004           
5.0000E-001,4.4500E+001,-8.6675E+006,-2.5956E+007,-1.4039E+004           
5.0000E-001,4.5500E+001,-8.6694E+006,-2.5933E+007,-1.1791E+004           
5.0000E-001,4.6500E+001,-8.6687E+006,-2.5910E+007,-1.1439E+004           
5.0000E-001,4.7500E+001,-8.6670E+006,-2.5890E+007,-1.0615E+004           
5.0000E-001,4.8500E+001,-8.6675E+006,-2.5874E+007,-7.8496E+003           
5.0000E-001,4.9500E+001,-8.6671E+006,-2.5860E+007,-6.4555E+003           
5.0000E-001,5.0500E+001,-8.6670E+006,-2.5849E+007,-4.4653E+003           
5.0000E-001,5.1500E+001,-8.6679E+006,-2.5843E+007,-3.0455E+003           
5.0000E-001,5.2500E+001,-8.6681E+006,-2.5840E+007,-3.4002E+002           
5.0000E-001,5.3500E+001,-8.6684E+006,-2.5838E+007,2.6816E+002            
5.0000E-001,5.4500E+001,-8.6680E+006,-2.5840E+007,1.1255E+003            
5.0000E-001,5.5500E+001,-8.6682E+006,-2.5845E+007,2.8847E+003            
5.0000E-001,5.6500E+001,-8.6683E+006,-2.5851E+007,3.5301E+003            
5.0000E-001,5.7500E+001,-8.6677E+006,-2.5860E+007,4.7778E+003            
5.0000E-001,5.8500E+001,-8.6672E+006,-2.5869E+007,6.3100E+003            
5.0000E-001,5.9500E+001,-8.6679E+006,-2.5882E+007,7.1200E+003            
5.0000E-001,6.0500E+001,-8.6683E+006,-2.5897E+007,7.8245E+003            
5.0000E-001,6.1500E+001,-8.6674E+006,-2.5911E+007,6.8374E+003            
5.0000E-001,6.2500E+001,-8.6668E+006,-2.5925E+007,7.4296E+003            
5.0000E-001,6.3500E+001,-8.6666E+006,-2.5940E+007,7.0503E+003            
5.0000E-001,6.4500E+001,-8.6670E+006,-2.5955E+007,6.8449E+003            
5.0000E-001,6.5500E+001,-8.6674E+006,-2.5970E+007,7.0586E+003            
5.0000E-001,6.6500E+001,-8.6680E+006,-2.5985E+007,6.3716E+003            
5.0000E-001,6.7500E+001,-8.6681E+006,-2.5999E+007,5.7376E+003            
