x, y, xx, yy, xy
10, 0, -2000, -3000, -1500
20, 0, -1990, -2980, -1495
30, 0, -1980, -2960, -1490
40, 0, -1970, -2940, -1485
50, 0, -1960, -2920, -1480
60, 0, -1950, -2900, -1475
70, 0, -1940, -2880, -1470
80, 0, -1930, -2860, -1465
90, 0, -1920, -2840, -1460
100, 0, -1910, -2820, -1455
10, 10, -1900, -2800, -1450
20, 10, -1890, -2780, -1445
30, 10, -1880, -2760, -1440
40, 10, -1870, -2740, -1435
50, 10, -1860, -1860, 0
60, 10, -1850, -2700, -1425
70, 10, -1840, -2680, -1420
80, 10, -1830, -2660, -1415
90, 10, -1820, -2640, -1410
100, 10, -1810, -2620, -1405
10, 20, -1800, -2600, -1400
20, 20, -1790, -2580, -1395
30, 20, -1780, -2560, -1390
40, 20, -1770, -2540, -1385
50, 20, -1760, -2520, -1380
60, 20, -1750, -2500, -1375
70, 20, -1740, -2480, -1370
80, 20, -1730, -2460, -1365
90, 20, -1720, -2440, -1360
100, 20, -1710, -2420, -1355
10, 30, -1700, -2400, -1350
20, 30, -1690, -2380, -1345
30, 30, -1680, -2360, -1340
40, 30, -1670, -2340, -1335
50, 30, -1660, -2320, -1330
60, 30, -1650, -2300, -1325
70, 30, -1640, -2280, -1320
80, 30, -1630, -2260, -1315
90, 30, -1620, -2240, -1310
100, 30, -1610, -2220, -1305
10, 40, -1600, -2200, -1300
20, 40, -1590, -2180, -1295
30, 40, -1580, -2160, -1290
40, 40, -1570, -2140, -1285
50, 40, 0, 0, 0
60, 40, -1550, -2100, -1275
70, 40, -1540, -2080, -1270
80, 40, -1530, -2060, -1265
90, 40, -1520, -2040, -1260
100, 40, -1510, -2020, -1255
10, 50, -1500, -2000, -1250
20, 50, -1490, -1980, -1245
30, 50, -1480, -1960, -1240
40, 50, 0, 0, 0
50, 50, 0, 0, 0
60, 50, 0, 0, 0
70, 50, -1440, -1880, -1220
80, 50, -1430, -1860, -1215
90, 50, -1420, -1840, -1210
100, 50, -1410, -1820, -1205
10, 60, -1400, -1800, -1200
20, 60, -1390, -1780, -1195
30, 60, -1380, -1760, -1190
40, 60, -1370, -1740, -1185
50, 60, 0, 0, 0
60, 60, -1350, -1700, -1175
70, 60, -1340, -1680, -1170
80, 60, -1330, -1660, -1165
90, 60, -1320, -1640, -1160
100, 60, -1310, -1620, -1155
10, 70, -1300, -1600, -1150
20, 70, -1290, -1580, -1145
30, 70, -1280, -1560, -1140
40, 70, -1270, -1540, -1135
50, 70, -1260, -1520, -1130
60, 70, -1250, -1500, -1125
70, 70, -1240, -1480, -1120
80, 70, -1230, -1460, -1115
90, 70, -1220, -1440, -1110
100, 70, -1210, -1420, -1105
10, 80, -1200, -1400, -1100
20, 80, -1190, -1380, -1095
30, 80, -1180, -1360, -1090
40, 80, -1170, -1340, -1085
50, 80, -1160, -1320, -1080
60, 80, -1150, -1300, -1075
70, 80, -1140, -1280, -1070
80, 80, -1130, -1260, -1065
90, 80, -1120, -1240, -1060
100, 80, -1110, -1220, -1055
10, 90, -1100, -1200, -1050
20, 90, -1090, -1180, -1045
30, 90, -1080, -1160, -1040
40, 90, -1070, -1140, -1035
50, 90, -1060, -1120, -1030
60, 90, -1050, -1100, -1025
70, 90, -1040, -1080, -1020
80, 90, -1030, -1060, -1015
90, 90, -1020, -1040, -1010
100, 90, -1010, -1020, -1005
10, 100, -1000, -1000, -1000
20, 100, -990, -980, -995
30, 100, -980, -960, -990
40, 100, -970, -940, -985
50, 100, -960, -920, -980
60, 100, -950, -900, -975
70, 100, -940, -880, -970
80, 100, -930, -860, -965
90, 100, -920, -840, -960
100, 100, -910, -820, -955
