x	y	xx	yy	xy
10	0	-2000	-3000	-1500
20	0	-1990	-2980	-1495
30	0	-1980	-2960	-1490
40	0	-1970	-2940	-1485
50	0	-1960	-2920	-1480
60	0	-1950	-2900	-1475
70	0	-1940	-2880	-1470
80	0	-1930	-2860	-1465
90	0	-1920	-2840	-1460
100	0	-1910	-2820	-1455
10	10	-1900	-2800	-1450
20	10	-1890	-2780	-1445
30	10	-1880	-2760	-1440
40	10	-1870	-2740	-1435
50	10	-1860	-1860	0
60	10	-1850	-2700	-1425
70	10	-1840	-2680	-1420
80	10	-1830	-2660	-1415
90	10	-1820	-2640	-1410
100	10	-1810	-2620	-1405
10	20	-1800	-2600	-1400
20	20	-1790	-2580	-1395
30	20	-1780	-2560	-1390
40	20	-1770	-2540	-1385
50	20	-1760	-2520	-1380
60	20	-1750	-2500	-1375
70	20	-1740	-2480	-1370
80	20	-1730	-2460	-1365
90	20	-1720	-2440	-1360
100	20	-1710	-2420	-1355
10	30	-1700	-2400	-1350
20	30	-1690	-2380	-1345
30	30	0	0	0
40	30	0	0	0
50	30	0	0	0
60	30	0	0	0
70	30	0	0	0
80	30	0	0	0
90	30	0	0	0
100	30	0	0	0
10	40	0	0	0
20	40	0	0	0
30	40	0	0	0
40	40	0	0	0
50	40	0	0	0
60	40	0	0	0
70	40	0	0	0
80	40	0	0	0
90	40	0	0	0
100	40	0	0	0
10	50	0	0	0
20	50	0	0	0
30	50	0	0	0
40	50	0	0	0
50	50	0	0	0
60	50	0	0	0
70	50	0	0	0
80	50	0	0	0
90	50	0	0	0
100	50	0	0	0
10	60	0	0	0
20	60	0	0	0
30	60	0	0	0
40	60	0	0	0
50	60	0	0	0
60	60	0	0	0
70	60	0	0	0
80	60	0	0	0
90	60	0	0	0
100	60	0	0	0
10	70	0	0	0
20	70	0	0	0
30	70	0	0	0
40	70	0	0	0
50	70	0	0	0
60	70	0	0	0
70	70	0	0	0
80	70	0	0	0
90	70	0	0	0
100	70	0	0	0
10	80	0	0	0
20	80	0	0	0
30	80	0	0	0
40	80	0	0	0
50	80	0	0	0
60	80	-1150	-1300	-1075
70	80	-1140	-1280	-1070
80	80	-1130	-1260	-1065
90	80	-1120	-1240	-1060
100	80	-1110	-1220	-1055
10	90	-1100	-1200	-1050
20	90	-1090	-1180	-1045
30	90	-1080	-1160	-1040
40	90	-1070	-1140	-1035
50	90	-1060	-1120	-1030
60	90	-1050	-1100	-1025
70	90	-1040	-1080	-1020
80	90	-1030	-1060	-1015
90	90	-1020	-1040	-1010
100	90	-1010	-1020	-1005
10	100	-1000	-1000	-1000
20	100	-990	-980	-995
30	100	-980	-960	-990
40	100	-970	-940	-985
50	100	-960	-920	-980
60	100	-950	-900	-975
70	100	-940	-880	-970
80	100	-930	-860	-965
90	100	-920	-840	-960
100	100	-910	-820	-955
